Timestamp,Please state your gender,Age band you fall into?,Your highest education level?,Which of the following best describes your current work situation?,Which of these best describe the community you live in?,Marital Status,"how many children under the age of 18 live with you, in your household?","how many  people aged 18 and over live with you, in your household. please do not count yourself ( Add if necessary: including your partner)?",Who is responsible for day-to-day monetary decisions in your household?,Does your household have a budget?,Which of the following statements best describe your pattern for choosing a financial product/service,Which source of financial information influences you the most?,"Before I buy something, I carefully consider whether I can afford it",I tend to live for today and let tomorrow take care of itself,I find it more satisfying to spend money than to save it for the long term,I pay my bills on time,I am prepared to risk some of my own money when saving or making an investment,I keep a close personal watch on my financial affairs,I set a long term financial goals and strive to achieve them,Money is there to be spent,"In the last 12 months, did your income seem not to cover your living costs?","If yes, how did you manage to make ends meet?","In the past 12 months, have you been saving money in the following forms?","If you lost your main source of income, how long could you do without borrowing money?",Which bracket does your household income fall into?,"Which form of ""more than one"" source of income you have?","Considering all the sources of income, is your household income regular and reliable?",Your retirement is covered under which of the following?,What is your view about saving money?,Do you have any such habits?,"Suppose you put ₹10,000 into a <no fee> savings account with a guaranteed interest of 2% per year. You don't make any further payments into this account and you don't withdraw any money. How much would be in the account at the end of the first year, once the interest payment is made?"
2019/06/25 11:27:25 AM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,Student,A large city ( with over  1000 000 people),Married,N/A,5,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,3,4,1,2,1,3,2,No,,Building up balance of money in bank account,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/25 11:31:29 AM GMT+5:30,Female,20-29,Post Graduation,Student,A large city ( with over  1000 000 people),Married,1,2,You and your partner,Don't know,Don't know,Recommendations from independent financial advisor/broker,1,1,2,1,2,4,5,1,Not applicable,,Have not been actively saving,Prefer not to say,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/25 1:33:03 PM GMT+5:30,Female,18-19,Intermediate,Student,A large city ( with over  1000 000 people),Single,2 peoples,6,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,3,4,1,2,1,1,1,Don't know,Don't know,Saving cash at home,Don't know,"₹10,000-₹50,000 monthly",Parental support,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,Don't know
2019/06/25 2:03:32 PM GMT+5:30,Male,40-49,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,2,1,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,2,2,1,1,1,1,2,Yes,Existing resources like FDs or selling something you own,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹10,000-₹50,000 monthly",Side business,Yes,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Others,"₹ 10,200.00"
2019/06/25 2:11:13 PM GMT+5:30,Female,20-29,Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Single,7-8,5,You,Yes,I consider several products from different companies before making decision,TV/Radio advertisements,1,2,4,1,3,2,1,1,Don't know,others,Have not been actively saving,More than 6 months,"₹50,000-₹1,00,000 monthly",Parental support,Prefer not to answer,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/25 2:50:44 PM GMT+5:30,Male,20-29,Post Graduation,Self employed/Business,A village or rural area ( fewer than 3000 people),Married,12,14,You,No,I consider several products from the same company,My own previous experience,1,1,1,1,1,2,1,1,Yes,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Less than a week,"above ₹1,00,000 monthly",Side business,Yes,Others,"Source of privilege, luxury, power and prestige",Others,"₹ 10,200.00"
2019/06/25 2:53:44 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,2,6,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,4,2,3,4,2,4,4,3,Yes,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Less than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,None,A means to make ends meet,,"₹ 10,200.00"
2019/06/25 5:17:29 PM GMT+5:30,Female,20-29,Post Graduation,Student,A large city ( with over  1000 000 people),Single,1,4,You and another family member,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,1,4,1,2,1,1,2,Not applicable,Prefer not to say,Saving cash at home,Less than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,
2019/06/25 5:49:53 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Single,0,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,My own previous experience,2,4,5,2,1,2,4,3,Not applicable,Prefer not to say,Prefer not to say,Don't know,"above ₹1,00,000 monthly",Not applicable,Yes,Old Pension Scheme ( Pre 2004);Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/25 8:46:28 PM GMT+5:30,Female,30-39,Graduation,Homemaker,A city ( 100 000 people to about 1 000 000 people),Married,2,7,Your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,3,2,2,1,1,1,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Rental income,Yes,,"Source of privilege, luxury, power and prestige",None of the above,
2019/06/25 10:02:19 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,2,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,1,1,1,1,1,1,1,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹10,000-₹50,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/25 10:22:17 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,5,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,3,3,1,3,2,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/25 10:38:29 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Single,0,1,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,4,3,1,1,1,1,3,Yes,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹50,000-₹1,00,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Drinking;Smoking,"₹ 10,200.00"
2019/06/25 11:01:15 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,3,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,3,1,3,1,3,3,No,Existing resources like FDs or selling something you own,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/25 11:20:52 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Government service),"A town ( 15,000 to about 100 000 people)",Separated/divorced,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,3,2,2,1,1,3,2,2,Prefer not to say,Prefer not to say,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Working spouse,Prefer not to answer,New National Pension Scheme (NPS),"Source of privilege, luxury, power and prestige",Drinking,"₹ 10,200.00"
2019/06/25 11:21:56 PM GMT+5:30,Female,60-69,Post Graduation,Retired,A large city ( with over  1000 000 people),Married,Nil,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,3,3,1,3,1,2,2,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Old Pension Scheme ( Pre 2004),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/26 9:08:39 AM GMT+5:30,Male,40-49,Ph.D/Post Doctorate,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,2,1,You and your partner,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,5,5,1,1,1,1,4,No,,Buying livestock/property,More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/26 9:25:27 AM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,None,2,You and your partner,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,3,3,3,2,4,3,3,Yes,others,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Working spouse,No,New National Pension Scheme (NPS),Does not consider it important,Drinking;Smoking;None of the above,"₹ 10,222.00"
2019/06/26 9:53:42 AM GMT+5:30,Female,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,1,You and your partner,No,I don't compare any products at all,My own previous experience,1,2,2,1,1,1,3,1,No,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Less than 3 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/26 10:26:36 AM GMT+5:30,Male,20-29,Post Graduation,Self employed/Business,don't know,Single,5,9,You and another family member,Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,4,3,1,2,3,2,2,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"above ₹1,00,000 monthly",Rental income,Yes,Public Provident Fund (PPF);Others,A responsibility for coming generations,Smoking,"₹ 10,200.00"
2019/06/26 11:20:36 AM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,5,3,2,5,3,5,3,2,No,others,Building up balance of money in bank account,Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/26 11:32:54 AM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,3,3,2,1,2,1,1,3,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"above ₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/26 12:05:05 PM GMT+5:30,Female,18-19,Graduation,Student,A large city ( with over  1000 000 people),Single,4,6,Another member of family or[family members],Don't know,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,5,3,5,2,5,5,Don't know,Don't know,Saving cash at home,Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Don't know,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/26 12:21:59 PM GMT+5:30,Female,40-49,Post Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,Two,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,1,5,1,1,1,1,1,Prefer not to say,Prefer not to say,Have not been actively saving,Less than a month,"₹10,000-₹50,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/26 12:54:47 PM GMT+5:30,Female,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,2,6,Another member of family or[family members],No,I consider several products from the same company,General advice from friends/relatives/employers,5,4,4,5,3,4,2,1,No,,Saving cash at home,Don't know,"₹10,000-₹50,000 monthly",Working spouse,Yes,Others,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,220.00"
2019/06/26 2:18:52 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,3,You and another family member,Don't know,I consider several products from different companies before making decision,others,1,4,4,1,3,2,2,3,Prefer not to say,Prefer not to say,Building up balance of money in bank account,Less than 3 months,"₹50,000-₹1,00,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/26 4:52:42 PM GMT+5:30,Female,40-49,Ph.D/Post Doctorate,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,5,4,1,1,1,1,2,No,,Buying livestock/property,More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,Old Pension Scheme ( Pre 2004),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/26 7:51:04 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,1,2,You,Yes,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",3,1,3,1,3,1,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"above ₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),A means to make ends meet,Drinking,"₹ 10,200.00"
2019/06/27 10:11:42 AM GMT+5:30,Female,20-29,Post Graduation,Student,A large city ( with over  1000 000 people),Single,0,3,You and another family member,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,5,5,1,4,1,1,5,No,,Building up balance of money in bank account,Less than 3 months,"upto ₹10,000 monthly",Parental support,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/27 12:15:42 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,2,6,Another member of family or[family members],No,I consider several products from different companies before making decision,Product specific information found on the net,1,3,3,1,2,2,2,2,No,,Giving money to family on your behalf,More than 6 months,"₹10,000-₹50,000 monthly",Parental support,Yes,None,Does not consider it important,None of the above,"₹ 10,200.00"
2019/06/27 12:18:20 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,No,1,You and your partner,Yes,I consider several products from different companies before making decision,TV/Radio advertisements,3,2,1,1,4,2,2,2,Yes,Creating resources by working overtime,Building up balance of money in bank account,Less than a month,"₹50,000-₹1,00,000 monthly",Side business,No,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/27 12:55:51 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,1,You,Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,2,2,1,3,2,2,2,Yes,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"₹10,000-₹50,000 monthly",Not applicable,Don't know,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 12:59:01 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Single,1,1,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,3,4,2,2,2,1,4,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"₹10,000-₹50,000 monthly",Parental support,Yes,New National Pension Scheme (NPS);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 1:02:13 PM GMT+5:30,Female,20-29,Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Widowed,4,4,You,Yes,I consider several products from the same company,Information picked up at any bank branch,1,5,3,1,1,1,3,3,No,Existing resources like FDs or selling something you own,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/27 1:02:21 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,0,2,You and your partner,Yes,Not applicable,Product specific information found on the net,4,5,5,4,5,3,5,4,Don't know,Prefer not to say,Saving cash at home,Less than 3 months,"₹50,000-₹1,00,000 monthly",Not applicable,No,New National Pension Scheme (NPS),A means to make ends meet,None of the above,"₹ 10,000.00"
2019/06/27 1:22:51 PM GMT+5:30,Male,20-29,Post Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,0,5,You and another family member,Yes,I consider several products from different companies before making decision,others,1,5,5,1,3,1,1,1,Not applicable,Prefer not to say,Building up balance of money in bank account,Less than a month,"₹10,000-₹50,000 monthly",Not applicable,Don't know,None,"Source of privilege, luxury, power and prestige",None of the above,Don't know
2019/06/27 1:28:33 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),"A town ( 15,000 to about 100 000 people)",Single,2,8,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,5,4,5,5,5,1,4,5,Don't know,Prefer not to say,Building up balance of money in bank account,Less than 3 months,"₹50,000-₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/27 1:29:22 PM GMT+5:30,Female,20-29,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,0,5,Another member of family or[family members],No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,4,4,1,5,2,3,3,No,,Have not been actively saving,Don't know,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 1:35:32 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Single,0,4,You and another family member,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,1,5,1,1,1,1,5,No,Prefer not to say,Buying livestock/property,More than 6 months,"above ₹1,00,000 monthly",Side business,Yes,Employee Provident Fund (EPF),A responsibility for coming generations,None of the above,"₹ 10,220.00"
2019/06/27 1:37:14 PM GMT+5:30,Female,40-49,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,1,1,You and your partner,No,I consider several products from the same company,General advice from friends/relatives/employers,1,3,4,1,3,1,5,3,Not applicable,,Building up balance of money in bank account,Prefer not to say,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS);Public Provident Fund (PPF);Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/27 1:44:06 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A large city ( with over  1000 000 people),Married,None,5,Another member of family or[family members],Don't know,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,3,4,1,3,1,1,4,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 6 months,"above ₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 1:54:10 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,0,3,You and another family member,Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,2,2,1,2,3,2,1,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"₹50,000-₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/06/27 2:04:42 PM GMT+5:30,Female,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,Nil,1,You and your partner,No,I consider several products from different companies before making decision,My own previous experience,1,1,3,1,1,1,1,1,No,Prefer not to say,Building up balance of money in bank account,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,000.00"
2019/06/27 2:17:52 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,0,3,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,2,1,3,1,5,3,3,3,No,Don't know,Have not been actively saving,Less than 3 months,"₹50,000-₹1,00,000 monthly",Working spouse,Don't know,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 2:29:08 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,4,You and another family member,Don't know,Don't know,Product specific information found on the net,2,3,3,3,3,3,3,3,No,Don't know,Buying livestock/property,Don't know,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",Drinking;Smoking,"₹ 10,222.00"
2019/06/27 2:34:46 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Single,,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,3,1,1,3,4,4,1,Yes,Creating resources by working overtime,Have not been actively saving,Don't know,"₹50,000-₹1,00,000 monthly",Parental support,Don't know,Others;None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/27 6:31:31 PM GMT+5:30,Male,30-39,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,0,4,You,Prefer not to answer,I don't compare any products at all,General advice from friends/relatives/employers,1,3,3,2,5,3,5,4,No,,Have not been actively saving,Don't know,"above ₹1,00,000 monthly",Not applicable,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/27 7:34:03 PM GMT+5:30,Female,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,None,1,You and your partner,Prefer not to answer,I consider several products from different companies before making decision,Product specific information found on the net,1,3,3,1,3,2,3,3,Prefer not to say,,Building up balance of money in bank account,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Prefer not to answer,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/27 11:52:11 PM GMT+5:30,Male,20-29,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,Nobody ,2,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,4,4,2,4,2,1,3,Prefer not to say,Prefer not to say,Building up balance of money in bank account,Don't know,"₹10,000-₹50,000 monthly",Parental support,Yes,Others,A responsibility for coming generations,None of the above,"₹ 10,220.00"
2019/06/28 3:31:32 AM GMT+5:30,Male,20-29,Ph.D/Post Doctorate,Looking for job,A city ( 100 000 people to about 1 000 000 people),Single,1,1,You,No,I don't compare any products at all,My own previous experience,3,3,1,1,2,5,3,1,Not applicable,Borrowing money from known contacts/resources,Prefer not to say,Less than a week,"₹10,000-₹50,000 monthly",Parental support,No,None,Does not consider it important,Drinking;Smoking;Gambling;Others,"₹ 10,200.00"
2019/06/28 7:25:02 AM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,0,1,You,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,1,3,3,2,3,1,1,No,Existing resources like FDs or selling something you own,Saving cash at home,More than 6 months,"₹50,000-₹1,00,000 monthly",Side business,Yes,None,"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/06/28 11:09:09 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None,2,You,Yes,Prefer not to answer,others,1,1,1,1,2,1,1,2,No,,Giving money to family on your behalf,More than 6 months,"₹10,000-₹50,000 monthly",Parental support,Yes,Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/29 6:10:36 PM GMT+5:30,Female,20-29,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Single,0,3,You,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,3,4,1,1,2,3,2,No,Prefer not to say,Giving money to family on your behalf,Don't know,"above ₹1,00,000 monthly",Side business,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,
2019/06/29 8:23:25 PM GMT+5:30,Male,20-29,Graduation,Looking for job,A large city ( with over  1000 000 people),Single,0,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,3,3,1,2,2,3,2,Not applicable,others,Saving cash at home,Don't know,"above ₹1,00,000 monthly",Not applicable,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/29 8:29:43 PM GMT+5:30,Female,60-69,Graduation,Retired,A large city ( with over  1000 000 people),Married,None,1,Your partner,No,I consider several products from different companies before making decision,My own previous experience,1,1,3,1,1,1,1,1,No,,Have not been actively saving,Don't know,"₹10,000-₹50,000 monthly",Not applicable,No,None,A means to make ends meet,None of the above,"₹ 10,220.00"
2019/07/02 12:19:52 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,Nil,2,You and your partner,No,I consider several products from different companies before making decision,Product specific information found on the net,3,4,4,1,1,3,4,2,No,others,Building up balance of money in bank account,Less than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/07/02 1:15:50 PM GMT+5:30,Female,20-29,Post Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,,5,You and another family member,Yes,I consider several products from different companies before making decision,My own previous experience,1,1,1,2,3,1,3,1,No,others,Have not been actively saving,Less than 6 months,"above ₹1,00,000 monthly",Parental support,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 2:07:11 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I don't compare any products at all,Product specific information found on the net,2,4,3,1,1,2,3,2,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 2:17:42 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,,,You and your partner,No,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,1,2,3,2,1,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF),A means to make ends meet,Drinking,"₹ 10,200.00"
